degree,samples,pct_of_val,gnn_top1,tfm_top1,delta
2,296,5.95,1.0,1.0,0.0
3,116,2.33,0.75,0.8103,0.0603
4,351,7.06,0.6097,0.7379,0.1282
4+,4208,84.65,0.385,0.544,0.159
