epoch,lr,train_loss,train_top1,train_top3,val_top1,val_top3,random_baseline
1,0.001,1.019364356994629,0.3971206247806549,0.9628753662109375,0.42306917905807495,0.9661222100257874,0.39226508140563965
2,0.001,1.0177944898605347,0.41783493757247925,0.9661725163459778,0.4430328607559204,0.968945324420929,0.39226508140563965
3,0.001,1.0038336515426636,0.436737060546875,0.9656690955162048,0.4410163462162018,0.9643073081970215,0.39226508140563965
4,0.001,0.9954283237457275,0.4386499226093292,0.9654425978660583,0.44081467390060425,0.9651139378547668,0.39226508140563965
5,0.001,0.9965813159942627,0.4389016032218933,0.9660969972610474,0.4381931722164154,0.9661222100257874,0.39226508140563965
6,0.001,0.9958980083465576,0.43927913904190063,0.9664996862411499,0.4472675919532776,0.9639040231704712,0.39226508140563965
7,0.001,0.9927564859390259,0.44121718406677246,0.9654174447059631,0.4527122378349304,0.9635006785392761,0.39226508140563965
8,0.001,0.9899820685386658,0.44791221618652344,0.9641086459159851,0.4506956934928894,0.9624924659729004,0.39226508140563965
9,0.001,0.9898070096969604,0.4506053328514099,0.9641337990760803,0.45089736580848694,0.9635006785392761,0.39226508140563965
10,0.001,0.9914389848709106,0.44849109649658203,0.9651405811309814,0.4535188674926758,0.963299036026001,0.39226508140563965
11,0.001,0.9907527565956116,0.45198962092399597,0.9653922915458679,0.4583585262298584,0.9641056656837463,0.39226508140563965
12,0.001,0.9876222014427185,0.4554629921913147,0.9661725163459778,0.4575519263744354,0.9641056656837463,0.39226508140563965
13,0.001,0.9858292937278748,0.45629358291625977,0.9661725163459778,0.4607783854007721,0.9635006785392761,0.39226508140563965
14,0.001,0.9849888682365417,0.45747652649879456,0.9657698273658752,0.4575519263744354,0.965315580368042,0.39226508140563965
15,0.001,0.985641598701477,0.4560418725013733,0.9649392366409302,0.4652147591114044,0.9661222100257874,0.39226508140563965
16,0.001,0.984863817691803,0.458860844373703,0.9650399088859558,0.46823957562446594,0.9669288396835327,0.39226508140563965
17,0.001,0.9840161204338074,0.46213284134864807,0.9652915596961975,0.4656180739402771,0.9685420393943787,0.39226508140563965
18,0.001,0.9817970395088196,0.4656565487384796,0.966373860836029,0.4750957787036896,0.9671304821968079,0.39226508140563965
19,0.001,0.9800704717636108,0.4695577621459961,0.9665752053260803,0.4694494903087616,0.9685420393943787,0.39226508140563965
20,0.001,0.9787218570709229,0.4717726707458496,0.9682615399360657,0.4704577624797821,0.968945324420929,0.39226508140563965
21,0.001,0.9773851037025452,0.47101759910583496,0.9685887694358826,0.4767090082168579,0.9691470265388489,0.39226508140563965
22,0.001,0.9749945402145386,0.4764541685581207,0.967984676361084,0.4877999722957611,0.9701552987098694,0.39226508140563965
23,0.001,0.9725362062454224,0.4818655550479889,0.9689914584159851,0.4954628050327301,0.9681387543678284,0.39226508140563965
24,0.001,0.968133270740509,0.49251213669776917,0.9692180156707764,0.5117967128753662,0.9703569412231445,0.39226508140563965
25,0.001,0.9641109704971313,0.5033852458000183,0.9702499508857727,0.5263158082962036,0.9735834002494812,0.39226508140563965
26,0.001,0.9571748971939087,0.5142583847045898,0.9716594219207764,0.5400282144546509,0.9743899703025818,0.39226508140563965
27,0.001,0.9511051774024963,0.522312581539154,0.9722634553909302,0.5454728603363037,0.9739866852760315,0.39226508140563965
28,0.001,0.9413101673126221,0.5292592644691467,0.9738239645957947,0.5497075915336609,0.9755999445915222,0.39226508140563965
29,0.001,0.9324844479560852,0.5338652729988098,0.9753089547157288,0.5468844771385193,0.9762048721313477,0.39226508140563965
30,0.001,0.9232779741287231,0.5401827096939087,0.9766932725906372,0.557773768901825,0.9814478754997253,0.39226508140563965
31,0.001,0.9233942031860352,0.54038405418396,0.9788075089454651,0.5366001129150391,0.9745916724205017,0.39226508140563965
32,0.001,0.9273973703384399,0.5361304879188538,0.9767435789108276,0.5648316144943237,0.9798346161842346,0.39226508140563965
33,0.001,0.9077292680740356,0.5527925491333008,0.9812237024307251,0.5622101426124573,0.9838677048683167,0.39226508140563965
34,0.001,0.9147282242774963,0.5465505719184875,0.9818026423454285,0.5708812475204468,0.9808428883552551,0.39226508140563965
35,0.001,0.8979491591453552,0.555259108543396,0.9830359220504761,0.5646299719810486,0.9784230589866638,0.39226508140563965
