epoch,lr,train_loss,train_top1,train_top3,val_top1,val_top3,random_baseline
1,0.001,1.011979341506958,0.376289039850235,0.9601371884346008,0.3722054362297058,0.9609264731407166,0.3932284712791443
2,0.001,1.006353735923767,0.39224931597709656,0.9622299075126648,0.41792547702789307,0.9635447859764099,0.3932284712791443
3,0.001,1.003288745880127,0.4195305109024048,0.9643478393554688,0.4257804751396179,0.9639476537704468,0.3932284712791443
4,0.001,1.000882625579834,0.42583394050598145,0.9641461372375488,0.4322255849838257,0.9641490578651428,0.3932284712791443
5,0.001,0.998750627040863,0.4298933446407318,0.9639948606491089,0.4380664527416229,0.9655588865280151,0.3932284712791443
6,0.001,0.9968063235282898,0.4385668635368347,0.9655581116676331,0.4426988959312439,0.9641490578651428,0.3932284712791443
7,0.001,0.9949391484260559,0.4410882294178009,0.965608537197113,0.4517623484134674,0.9643504619598389,0.3932284712791443
8,0.001,0.9930532574653625,0.4488036036491394,0.9648268818855286,0.4578046202659607,0.9639476537704468,0.3932284712791443
9,0.001,0.9911679029464722,0.45440104603767395,0.9649277925491333,0.45297080278396606,0.9631419777870178,0.3932284712791443
10,0.001,0.9894354939460754,0.45692241191864014,0.9647008180618286,0.45438066124916077,0.9641490578651428,0.3932284712791443
11,0.001,0.9880481958389282,0.4565694332122803,0.9639192223548889,0.4525679647922516,0.9655588865280151,0.3932284712791443
12,0.001,0.987086832523346,0.45989763736724854,0.9642469882965088,0.44712990522384644,0.964954674243927,0.3932284712791443
13,0.001,0.9864092469215393,0.4599732756614685,0.963717520236969,0.4497482478618622,0.9637462496757507,0.3932284712791443
14,0.0005,0.9858316779136658,0.45866215229034424,0.9642469882965088,0.44874119758605957,0.9633433818817139,0.3932284712791443
15,0.0005,0.985344648361206,0.4570736885070801,0.9648520946502686,0.4499496519565582,0.9629405736923218,0.3932284712791443
16,0.0005,0.9851376414299011,0.4595446288585663,0.9650790691375732,0.4499496519565582,0.9615306854248047,0.3932284712791443
17,0.0005,0.9849348068237305,0.4599732756614685,0.9642974138259888,0.4499496519565582,0.9639476537704468,0.3932284712791443
18,0.0005,0.9847438335418701,0.45911601185798645,0.9655328989028931,0.45196375250816345,0.9639476537704468,0.3932284712791443
19,0.0005,0.9845671653747559,0.45911601185798645,0.9659867286682129,0.4531722068786621,0.9633433818817139,0.3932284712791443
20,0.00025,0.9843923449516296,0.4595446288585663,0.965709388256073,0.45095670223236084,0.9627391695976257,0.3932284712791443
21,0.00025,0.9841880798339844,0.4592168629169464,0.9648016691207886,0.4507552981376648,0.9627391695976257,0.3932284712791443
22,0.00025,0.9840567708015442,0.45858651399612427,0.9647512435913086,0.45196375250816345,0.9627391695976257,0.3932284712791443
