seq_len,alpha,train_samples,val_samples,random_base,best_val_top1,best_val_top3,gain_over_random
1,3.0,71589,8959,0.4037,0.4663,0.9677,0.0626
3,3.0,55638,6963,0.3912,0.5907,0.9897,0.1995
5,3.0,39721,4984,0.393,0.5979,0.9878,0.205
7,3.0,23813,2948,0.3895,0.5746,0.9783,0.1851
